,intensidad,ocupacion,vmed,cong,anom,outlier
1576,1105,5,60,1,0,0
1577,1500,7,58,1,0,0
1578,1060,5,66,1,0,0
1579,1048,5,61,1,0,0
1580,1259,6,60,1,0,0
1581,1200,7,60,1,0,0
1582,1700,7,60,1,0,0
1583,1440,5,61,1,0,0
1584,1115,4,61,1,0,0
1585,1611,7,56,1,0,0
1586,1200,5,61,1,0,0
1587,1275,5,63,1,0,0
1588,1116,6,58,1,0,0
1589,1120,5,60,1,0,0
1590,1019,6,59,1,0,0
1591,1041,4,61,1,0,0
1592,1212,8,61,1,0,0
1593,1140,7,60,1,0,0
1594,1020,5,65,1,0,0
1595,1471,7,64,1,0,0
1596,1520,4,64,1,0,0
1597,1439,5,60,1,0,0
1598,1636,9,58,1,0,0
1599,1429,7,58,1,0,0
1600,1246,5,59,1,0,0
1601,1680,8,59,1,0,0
1602,1548,8,56,1,0,0
1603,1411,5,62,1,0,0
1604,1365,4,64,1,0,0
1605,1395,5,60,1,0,0
1606,1440,7,56,1,0,0
1607,1525,6,61,1,0,0
1608,1575,5,60,1,0,0
1609,1420,8,60,1,0,0
1610,930,4,63,1,0,0
1611,760,6,59,0,0,0
1612,1515,9,56,1,0,0
1613,1650,6,61,1,0,0
1614,1499,7,60,1,0,0
1615,1260,7,58,1,0,0
1616,828,6,63,1,0,0
1617,396,2,60,0,0,0
1618,277,2,62,0,0,0
1619,420,4,61,0,0,0
1620,420,3,68,0,0,0
1621,348,4,62,0,0,0
1622,240,-1,64,0,0,0
1623,420,1,61,0,0,0
1624,120,-1,66,0,0,0
1625,540,2,63,0,0,0
1626,151,-1,66,0,0,0
1627,90,0,33,0,0,0
1628,61,-1,34,0,0,0
1629,168,-1,62,0,0,0
1630,193,-1,40,0,0,1
1631,1065,6,60,1,0,0
1632,924,4,61,1,0,0
1633,456,2,65,0,0,0
1634,121,1,65,0,0,0
1635,72,1,42,0,0,0
1636,37,-1,36,0,0,0
1637,84,-1,69,0,0,0
1638,75,-1,59,0,0,0
1639,18,-1,25,0,0,1
1640,90,0,53,0,0,0
1641,84,-1,46,0,0,0
1642,0,0,0,0,0,0
1643,60,-1,32,0,0,0
1644,135,-1,61,0,0,0
1645,586,3,66,0,0,0
1646,49,-1,41,0,0,0
1647,30,-1,15,0,0,0
1648,204,-1,65,0,0,0
1649,271,-1,69,0,0,0
1650,330,3,59,0,0,0
1651,180,1,59,0,0,0
1652,24,0,16,0,0,0
1653,939,3,62,1,0,0
1654,912,4,63,1,0,0
1655,1184,6,63,1,0,0
1656,1185,6,63,1,0,0
1657,1499,7,65,1,0,0
1658,1140,4,62,1,0,0
1659,840,4,58,1,0,0
1660,1260,4,64,1,0,0
1661,930,6,62,1,0,0
1662,960,6,56,1,0,0
1663,1020,4,57,1,0,0
1664,1081,5,60,1,0,0
1665,864,5,58,1,0,0
1666,1236,4,63,1,0,0
1667,1320,6,59,1,0,0
1668,1065,6,61,1,0,0
1669,1350,6,61,1,0,0
1670,1187,6,61,1,0,0
1671,1140,5,58,1,0,0
